record_id,strategy_sus,strategy_fs,strategy_nut
LEX-FAOC006416,0.20256341074920753,0.4036187711476846,0.33380651713321946
LEX-FAOC006480,0.20650821771802255,0.36641878780225157,0.3169041371001674
LEX-FAOC006495,0.1812245567462482,0.26455178139153684,0.21753499571525006
LEX-FAOC006558,0.2825649021295952,0.2816681992989125,0.20805072395307497
LEX-FAOC006612,0.09312262723392886,0.1640273794133272,0.21133635299449466
LEX-FAOC006656,0.07795664656451494,0.2384897656437312,0.18591956239309915
LEX-FAOC006664,-0.0202260182204785,0.18663091603074128,0.2983839160323632
LEX-FAOC006668,0.12244157781893635,0.19813980453154936,0.1550179653275117
LEX-FAOC006719,0.15754487841773712,0.30728693170587107,0.30568966797682356
LEX-FAOC006721,0.07156343230125174,0.08190116898413491,0.09357059690519545
LEX-FAOC006724,0.09257361944821259,0.1589803439441987,0.19196985631960298
LEX-FAOC006725,0.09619928476204316,0.14881375456429904,0.08138832895047324
LEX-FAOC006726,0.1528652903353205,0.30446826783641207,0.2569148622459019
LEX-FAOC006732,0.1542003684201742,0.3870771150498203,0.33075276841424195
LEX-FAOC006733,0.15055840270625045,0.3373937103069455,0.39361429555556005
LEX-FAOC006747,0.14757068763738912,0.3208424754197665,0.2714158564377553
LEX-FAOC006750,0.16891508099153613,0.3027670629522996,0.18596160218645533
LEX-FAOC006756,0.15174782785665222,0.3222669509285763,0.19426844404999208
LEX-FAOC006760,0.09487032614689496,0.22602334883103367,0.07906404056321722
LEX-FAOC006762,0.21035756528181004,0.23241832060160675,0.1877665663247461
LEX-FAOC006764,0.203101463458387,0.42470591408969366,0.42466020944129934
LEX-FAOC006765,0.24135219224377136,0.35312302080688435,0.36357505797371015
LEX-FAOC006769,0.18552677551028512,0.3399556518289894,0.26802120749134456
LEX-FAOC006771,0.18705744028764232,0.31959026493796,0.270115017513085
LEX-FAOC006773,0.12248631468683965,0.3820281798288733,0.36962276599089117
LEX-FAOC006774,0.17032004467396067,0.331222342653679,0.24705442953086582
LEX-FAOC006775,0.15797555974721364,0.28413026728528723,0.3206132976554057
LEX-FAOC006776,0.1428899860892652,0.09022257185962311,0.1639415021353039
LEX-FAOC006777,0.08987551651534294,0.31093819918688215,0.3646502733940189
LEX-FAOC006780,0.1674796732010014,0.2791238034018912,0.14677768252616782
LEX-FAOC006788,0.1607543335672537,0.24792861679673275,0.07363482919324275
LEX-FAOC006789,0.09476108559946395,0.19343106484019518,0.16421813847854164
LEX-FAOC006790,0.14171491437990363,0.27227216361801887,0.06068467192505483
LEX-FAOC006791,0.14657046436665921,0.22319817227109257,0.08615836129941738
LEX-FAOC006792,0.10502439939944525,0.2716754453581756,0.1385321442048264
LEX-FAOC006793,0.0834948933756873,0.15010104654987175,0.07299649986093362
LEX-FAOC006794,0.13706034383423063,0.1540242476154551,0.03979728226478576
LEX-FAOC006796,0.0472219769558356,0.14240274463150465,0.08334318538621552
LEX-FAOC006808,0.09606133054369469,0.2842847954660718,0.3184353253851265
LEX-FAOC006831,0.2100369680563421,0.3603252869316065,0.20373346977460038
LEX-FAOC006863,0.04333518520402387,0.27873975497222,0.23990635514572328
